Code,ENG,KOR,Latitude,Longitude
47720,Gunwi-gun,군위군,36.17860189917937,128.63875708492344
47730,Uiseong-gun,의성군,36.37200538393081,128.5913836593936
47750,Cheongsong-gun,청송군,36.38470124274027,129.02373255737902
47760,Yeongyang-gun,영양군,36.69950095133315,129.15281075328645
47770,Yeongdeok-gun,영덕군,36.51174872545144,129.44925314811908
47820,Cheongdo-gun,청도군,35.705039829797435,128.8055479189478
47830,Goryeong-gun,고령군,35.731371439122526,128.28082119896146
47840,Seongju-gun,성주군,35.90570838815005,128.22324556863467
47850,Chilgok-gun,칠곡군,36.01290644116143,128.45314729199288
47900,Yecheon-gun,예천군,36.64016751990253,128.43193315560404
47920,Bonghwa-gun,봉화군,36.91872629792347,128.88739863387548
47930,Uljin-gun,울진군,36.89215485566387,129.35250268526858
47940,Ulleung-gun,울릉군,37.23803733767179,131.8699819376836
48121,"Uichang-gu, Changwon-si",창원시 의창구,35.2267240818668,128.65926395259007
48123,"Seongsan-gu, Changwon-si",창원시 성산구,35.1939048823683,128.65436611557618
48125,"Masanhappo-gu, Changwon-si",창원시 마산합포구,35.060424424159606,128.57258137215933
48127,"Masanhoewon-gu, Changwon-si",창원시 마산회원구,35.2379586016209,128.55291189248064
48129,"Jinhae-gu, Changwon-si",창원시 진해구,35.056656083629115,128.6689877263537
48170,Jinju-si,진주시,35.1762354541439,128.1289025941701
48250,Gimhae-si,김해시,35.25215485246439,128.81330772511166
48270,Miryang-si,밀양시,35.48853640893667,128.79026840065418
48310,Geoje-si,거제시,34.669731065288175,128.77538580211257
48330,Yangsan-si,양산시,35.39175377828793,129.0606622576331
48720,Uiryeong-gun,의령군,35.40498692195768,128.22118597705705
48730,Haman-gun,함안군,35.281983439058585,128.47489081528462
48740,Changnyeong-gun,창녕군,35.56393480255984,128.48833285628015
48820,Goseong-gun,고성군,34.8796850635613,128.24372641294588
48840,Namhae-gun,남해군,34.50301627338233,128.0833856584521
48850,Hadong-gun,하동군,34.94436314663461,127.81919572213029
48860,Sancheong-gun,산청군,35.390058762344346,127.92872481250463
48870,Hamyang-gun,함양군,35.55982146281215,127.74117864629713
48880,Geochang-gun,거창군,35.71696360565561,127.9153196077929
48890,Hapcheon-gun,합천군,35.57616173652114,128.16228551025927
50110,Jeju-si,제주시,33.308797612854214,126.15088483970149
50130,Seogwipo-si,서귀포시,33.117514955749606,126.26743726294308
